date	1st owner	2nd owner	3rd owner
20050101	0.0
20080103	12658.0	12658.0
20090126	0.0	19925.0	19925.0
20110120	0.0	0.0	38789.0
20111014	0.0	0.0	42661.0
20120113	0.0	0.0	43668.0
20130115	0.0	0.0	47528.0
20140117	0.0	0.0	49607.0
